04-24-2012 14:30:10.689 INFO  ApplicationManager - Initializing applications: /opt/splunk/etc/apps
04-24-2012 14:30:10.690 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkForwarder
04-24-2012 14:30:10.690 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/gettingstarted
04-24-2012 14:30:10.690 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkDeploymentMonitor
04-24-2012 14:30:10.690 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/legacy
04-24-2012 14:30:10.690 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/launcher
04-24-2012 14:30:10.690 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkLightForwarder
04-24-2012 14:30:10.691 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/user-prefs
04-24-2012 14:30:10.691 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/splunk_datapreview
04-24-2012 14:30:10.691 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/learned
04-24-2012 14:30:10.691 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/sample_app
04-24-2012 14:30:10.691 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/search
04-24-2012 14:30:10.691 INFO  ApplicationManager - Initialized 11 application(s): /opt/splunk/etc/apps
04-24-2012 14:30:10.692 INFO  ApplicationManager - Found 4 application(s) that might have global exports
04-24-2012 14:30:10.742 INFO  dispatchRunner - initing LicenseMgr in search process: nonPro=0
04-24-2012 14:30:10.747 INFO  LicenseMgr - Initing LicenseMgr
04-24-2012 14:30:10.751 INFO  ServerConfig - My GUID is "AE7C28AE-DB29-41C8-9480-4EBC75C88412".
04-24-2012 14:30:10.751 INFO  ServerConfig - My server name is "linux-ahv8.site-bigjava".
04-24-2012 14:30:10.751 INFO  ServerConfig - My hostname is "linux-ahv8.site".
04-24-2012 14:30:10.761 INFO  SSLCommon - added zlib compression
04-24-2012 14:30:10.764 INFO  ServerConfig - Setting HTTP server compression state=on
04-24-2012 14:30:10.766 INFO  ServerConfig - Setting HTTP client compression state=0 (false)
04-24-2012 14:30:10.766 INFO  ServerConfig - Default output queue for file-based input: parsingQueue.
