05-02-2012 15:30:16.176 INFO  ApplicationManager - Initializing applications: /opt/splunk/etc/apps
05-02-2012 15:30:16.179 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkForwarder
05-02-2012 15:30:16.182 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/gettingstarted
05-02-2012 15:30:16.182 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkforF5Access
05-02-2012 15:30:16.182 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkDeploymentMonitor
05-02-2012 15:30:16.183 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/legacy
05-02-2012 15:30:16.183 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/launcher
05-02-2012 15:30:16.183 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkforF5Security
05-02-2012 15:30:16.183 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkLightForwarder
05-02-2012 15:30:16.183 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/user-prefs
05-02-2012 15:30:16.183 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/splunk_datapreview
05-02-2012 15:30:16.183 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/learned
05-02-2012 15:30:16.184 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/F5
05-02-2012 15:30:16.184 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/sample_app
05-02-2012 15:30:16.186 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/search
05-02-2012 15:30:16.186 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkforF5Networks
05-02-2012 15:30:16.186 INFO  ApplicationManager - Initialized 15 application(s): /opt/splunk/etc/apps
05-02-2012 15:30:16.186 INFO  ApplicationManager - Found 8 application(s) that might have global exports
05-02-2012 15:30:16.237 INFO  dispatchRunner - initing LicenseMgr in search process: nonPro=0
05-02-2012 15:30:16.240 INFO  LicenseMgr - Initing LicenseMgr
05-02-2012 15:30:16.247 INFO  ServerConfig - My GUID is "AE7C28AE-DB29-41C8-9480-4EBC75C88412".
05-02-2012 15:30:16.247 INFO  ServerConfig - My server name is "linux-ahv8.site-bigjava".
05-02-2012 15:30:16.247 INFO  ServerConfig - My hostname is "linux-ahv8.site".
05-02-2012 15:30:16.256 INFO  SSLCommon - added zlib compression
05-02-2012 15:30:16.259 INFO  ServerConfig - Setting HTTP server compression state=on
05-02-2012 15:30:16.262 INFO  ServerConfig - Setting HTTP client compression state=0 (false)
05-02-2012 15:30:16.262 INFO  ServerConfig - Default output queue for file-based input: parsingQueue.
05-02-2012 15:30:16.262 INFO  LMConfig - serverName=linux-ahv8.site-bigjava guid=AE7C28AE-DB29-41C8-9480-4EBC75C88412 
05-02-2012 15:30:16.262 INFO  LMConfig - connection_timeout=30
05-02-2012 15:30:16.262 INFO  LMConfig - send_timeout=30
05-02-2012 15:30:16.262 INFO  LMConfig - receive_timeout=30
05-02-2012 15:30:16.262 INFO  LMConfig - squash_threshold=1000
05-02-2012 15:30:16.262 INFO  LicenseMgr - Initing LicenseMgr is_splunkd=false
05-02-2012 15:30:16.262 INFO  LMStackMgr - closing stack mgr
05-02-2012 15:30:16.262 INFO  LMSlaveInfo - all slaves cleared
