05-02-2012 15:30:53.769 INFO  ApplicationManager - Initializing applications: /opt/splunk/etc/apps
05-02-2012 15:30:53.774 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkForwarder
05-02-2012 15:30:53.776 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/gettingstarted
05-02-2012 15:30:53.776 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkforF5Access
05-02-2012 15:30:53.776 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkDeploymentMonitor
05-02-2012 15:30:53.776 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/legacy
05-02-2012 15:30:53.776 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/launcher
05-02-2012 15:30:53.777 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkforF5Security
05-02-2012 15:30:53.777 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkLightForwarder
05-02-2012 15:30:53.777 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/user-prefs
05-02-2012 15:30:53.777 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/splunk_datapreview
05-02-2012 15:30:53.777 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/learned
05-02-2012 15:30:53.777 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/F5
05-02-2012 15:30:53.777 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/sample_app
05-02-2012 15:30:53.778 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/search
05-02-2012 15:30:53.778 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkforF5Networks
05-02-2012 15:30:53.778 INFO  ApplicationManager - Initialized 15 application(s): /opt/splunk/etc/apps
05-02-2012 15:30:53.778 INFO  ApplicationManager - Found 8 application(s) that might have global exports
05-02-2012 15:30:53.826 INFO  dispatchRunner - initing LicenseMgr in search process: nonPro=0
05-02-2012 15:30:53.826 INFO  LicenseMgr - Initing LicenseMgr
05-02-2012 15:30:53.830 INFO  ServerConfig - My GUID is "AE7C28AE-DB29-41C8-9480-4EBC75C88412".
05-02-2012 15:30:53.832 INFO  ServerConfig - My server name is "linux-ahv8.site-bigjava".
05-02-2012 15:30:53.832 INFO  ServerConfig - My hostname is "linux-ahv8.site".
05-02-2012 15:30:53.843 INFO  SSLCommon - added zlib compression
05-02-2012 15:30:53.844 INFO  ServerConfig - Setting HTTP server compression state=on
05-02-2012 15:30:53.844 INFO  ServerConfig - Setting HTTP client compression state=0 (false)
05-02-2012 15:30:53.844 INFO  ServerConfig - Default output queue for file-based input: parsingQueue.
05-02-2012 15:30:53.844 INFO  LMConfig - serverName=linux-ahv8.site-bigjava guid=AE7C28AE-DB29-41C8-9480-4EBC75C88412 
05-02-2012 15:30:53.845 INFO  LMConfig - connection_timeout=30
05-02-2012 15:30:53.845 INFO  LMConfig - send_timeout=30
05-02-2012 15:30:53.845 INFO  LMConfig - receive_timeout=30
05-02-2012 15:30:53.845 INFO  LMConfig - squash_threshold=1000
05-02-2012 15:30:53.845 INFO  LicenseMgr - Initing LicenseMgr is_splunkd=false
05-02-2012 15:30:53.845 INFO  LMStackMgr - closing stack mgr
05-02-2012 15:30:53.845 INFO  LMSlaveInfo - all slaves cleared
05-02-2012 15:30:53.862 INFO  LMStackMgr - created stack='download-trial'
05-02-2012 15:30:53.862 INFO  LMStackMgr - have to auto-set active stack group='Trial' reason='invalid/missing group id' gidStr='' oldGid=Invalid
05-02-2012 15:30:53.863 INFO  LMStackMgr - added pool auto_generated_pool_download-trial to stack download-trial
05-02-2012 15:30:53.863 INFO  LMStackMgr - added pool auto_generated_pool_forwarder to stack forwarder
05-02-2012 15:30:53.863 INFO  LMStackMgr - added pool auto_generated_pool_free to stack free
05-02-2012 15:30:53.863 INFO  LMStackMgr - init completed [AE7C28AE-DB29-41C8-9480-4EBC75C88412,Trial,0]
05-02-2012 15:30:53.863 INFO  LicenseMgr - StackMgr init complete...
05-02-2012 15:30:53.863 INFO  LMTracker - this is not splunkd, will perform partial init
05-02-2012 15:30:53.863 INFO  LMTracker - setting feature=Auth state=ENABLED (fs=1)
05-02-2012 15:30:53.863 INFO  LMTracker - setting feature=FwdData state=ENABLED (fs=1)
05-02-2012 15:30:53.863 INFO  LMTracker - setting feature=RcvData state=ENABLED (fs=1)
05-02-2012 15:30:53.863 INFO  LMTracker - setting feature=DistSearch state=ENABLED (fs=1)
05-02-2012 15:30:53.863 INFO  LMTracker - setting feature=RcvSearch state=ENABLED (fs=1)
05-02-2012 15:30:53.863 INFO  LMTracker - setting feature=ScheduledSearch state=ENABLED (fs=1)
05-02-2012 15:30:53.863 INFO  LMTracker - setting feature=Alerting state=ENABLED (fs=1)
05-02-2012 15:30:53.863 INFO  LMTracker - setting feature=DeployClient state=ENABLED (fs=1)
05-02-2012 15:30:53.863 INFO  LMTracker - setting feature=DeployServer state=ENABLED (fs=1)
05-02-2012 15:30:53.863 INFO  LMTracker - setting feature=SplunkWeb state=ENABLED (fs=1)
05-02-2012 15:30:53.863 INFO  LMTracker - setting feature=SyslogOutputProcessor state=ENABLED (fs=1)
05-02-2012 15:30:53.863 INFO  LMTracker - setting feature=SigningProcessor state=ENABLED (fs=1)
05-02-2012 15:30:53.864 INFO  LMTracker - setting feature=LocalSearch state=ENABLED (fs=1)
05-02-2012 15:30:53.864 INFO  LicenseMgr - Tracker init complete...
05-02-2012 15:30:53.873 INFO  AdminManager - added factory for admin handler: 'licenses'
